film_title,category,plot
Kör Nokta,Dram,"Babasının kim olduğunu bilmeyen, annesi uyuşturucu müptelası, on üç kardeşin arasında kimsenin umursamadığı Afro Amerikan genç bir çocuğun hayatı sokaklarda geçmektedir. Okuma yazma bilmeyen, okulda son derece başarısız olan bu çocuk, zengin bir aile tarafından himaye edilmeye başlandığında hayatı değişecektir. Okulda futbola başlayan genç, sonunda kendi yeteneğini keşfetmiştir. Ve bir gün Ulusal Futbol liginin en çok aranan sporcularından biri olacaktır. Film, Michael Oher'in gerçek hayat hikayesinden uyarlanmış."
Fineas ve Förb 2. Boyutta,"Animasyon, Komedi, Aile, TV film, Bilim-Kurgu, Macera, Aksiyon, Müzik","Bu film de Fineas ve Ferb için Ajan P’nin gerçek yüzünü keşfetme zamanı geliyor! Yaramaz ikilimiz, evcil hayvanları ornitorenk Perry’nin aslında gizli bir ajan olduğunu ve Ajan P olarak her gün kötü güçlerle savaştığını öğrenirler. Fineas ve Ferb, Perry’ye yani Ajan P’ye destek olmaya çalışırken ilginç olaylar birbirini izler ve bambaşka bir boyuta geçerler. Bu yeni boyuttaki dünya, yaşadıkları ve tanıdıkları dünyadan çok ama çok farklıdır. Bu boyutta Dr. Doofenshmirtz, Tri-State bölgesini yönetmektedir ve tahmin edebileceklerinden çok daha tehlikeli bir adamdır. Fineas ve Ferb kardeşler, Dr. Doofenshmirtz’in asıl amacının kendi boyutlarındaki Tri-State bölgesini ele geçirmek olduğunu duyunca gerçek macera başlar. Çünkü bu kötü niyetli doktoru yenebilmek için yapabilecekleri tek şeyin; kendilerinin ve ikinci boyuttaki diğer Fineas ve Ferb’ü bir araya getirmek olduğunu anlarlar."
Hayalet Avcıları: Ürperti,"Fantastik, Macera, Komedi","Spengler ailesi, hayaletleri bir sonraki seviyeye taşımak için çok gizli bir araştırma laboratuvarı geliştiren asıl Hayalet Avcıları ile ekip oluşturmak için her şeyin başladığı yere, ikonik New York City itfaiyesine geri döner. Ancak eski bir eserin keşfi şeytani bir gücü serbest bıraktığında evlerini korumak ve dünyayı ikinci bir Buzul Çağı’ndan kurtarmak için yeni ve eski Hayalet Avcıları güçlerini birleştirmelidir."
Redeeming Love,"Romantik, Dram, Vahşi Batı","Angel, çocukken fuhuşa zorlanan genç bir kadındır. Yıllarca süren şiddet, kendinden nefret etme ve hor görmenin ardından onun hayatı Michael Hoşea ile tanışmasıyla bambaşka bir hal alır. Aşk onun yaralarını iyileştirmesine yardımcı olacaktır."
The Taking of Deborah Logan,"Korku, Gizem","Deborah Logann hakkında medikal bir belgesel gibi başlayan film, Logan’ın Alzheimer hastalığına yakalanış evrelerini ve kızının bu hastalık süreci ile mücadele etmesini anlatıyorken bu hastalıktan muzdarip birinin yaşadığı ve yaşattığı gerilimleri korkuyla harmanlıyor."
Pixels,"Aksiyon, Komedi, Bilim-Kurgu, Fantastik","Uzaylılar, atari oyunlarının video yayınlarını keşfedip bunları gerçek birer savaş ilanı zannederek video oyunları aracılığıyla Dünya'ya hücum ederler. ABD Başkanı Cooper'ın PAC-MAN, Donkey Kong, Galaga, Centipede ve Space Invaders'ın saldırılarını engellemek ve dünyayı kurtarmak için video oyunu kahramanlarından yardım istemek dışında bir şansı kalmamıştır. Teğmen Violet Van Patten ise onlara benzersiz silahlar temin ederek ekibe katılacaktır."
Sessiz Bir Yer 2,"Bilim-Kurgu, Gerilim, Korku","Evde yaşanan ölümcül olayların ardından Abbott Ailesi, dış dünyanın dehşetiyle yüzleşmek zorunda kalırlar. Bilinmeze doğru tehlikeli bir şekilde gitmeye zorlanırken, kumdan yolun ardında pusuda yatan ve ses yoluyla avlanan yaratıkların tek tehlike olmadığını kısa süre sonra fark edeceklerdir."
Aynı Mehtap Altında,Dram,Binlerce mil uzakta bile anne ile oğul arasındaki ilişki asla bozuk olamaz. Annesi ile dokuz yıl görüşmeyen Carlitos umutludur. Rosario ile birlikte her ikisi de yeni bir yaşam kurmak için A.B.D.'ne gitmişler ancak Rosario daha parlak bir gelecek için olağanüstü bir mücadeleye girer. Ancak Carlitos Rosario'yu bulmak için bir yolculuğa çıkar. Eleştirmenler bu şekildeki bir anne oğul ilişkisinden övgü ile bahsediyorlar. Zamanımızda tüm toplumlarda azalan ebeveyn ve çocuk ilişkisini güçlü şekilde anlatan bir öykü.
Kill Bill: Vol. 2,"Aksiyon, Suç, Gerilim","Sıra dışı yönetmen Quentin Tarantino'nun büyük beğeni kazanan dördüncü filmi olan, acımasız bir ihaneti ve destansı bir kan davasını konu alan heyecan ve gerilimi yüksek Kill Bill: Volume 2'de Gelin (Uma Thurman, Pulp Fiction), intikamına kaldığı yerden devam etmektedir... Çoktan listesinde ki beş isimin ikisini haklayan Gelin'in onur mücadelesi son hızıyla sürmekte ve artık kendisinin başlatmadığı ancak bitirmeye kararlı olduğu bu ölüm kalım savaşının sonlanması gerekmektedir. Tüm dünyada ses getiren aksiyon dolu nükteli bu film, mutlaka görülmesi gereken bir yapım."
Annabelle 3,Korku,Annabelle'nin daha fazla tahribat yaratmasını engellemeye kararlı olan doğaüstü olayları inceleyip aydınlatmaya çalışan dünyaca ünlü çift Ed ve Lorraine Warren oyuncak bebeği evlerinde lanetli eşyaları sakladıkları odaya kilitlerler. Ancak bir akşam Warrenlar evde yokken on yaşındaki kızları Judy’in bakıcısının arkadaşı istemeden Annabelle’i tutulduğu güvenli kutudan dışarı çıkarır. Tekrar özgür kalan Annabelle oda da ki eşyaları ele geçirmiş kötü ruhları uyandırır ve evdeki kızların peşine düşer.
Cesur Yürek Gelini Alır,"Komedi, Dram, Romantik","Londra'da yaşayan bir aile babası olan Chaudhry Baldev Singh, bir gün Hindistan'dan gelen bir mektupla geçmişe döner. Mektup bir zamanlar en yakın arkadaşı olan kişidendir ve uzun zaman önce kendisine verdiği sözü hatırlatmaktadır. Buna göre aralarında yıllar önce birbirlerine verdikleri söz nedeniyle çocuklarını birbirleriyle evlendirmeleri gerekmektedir. Chaudhry sözünü tutmaya kararlıdır ancak kızını evlenmek için Hindistan'a göndermeden önce ona özgür olup istediğini yapabilmesi için bir aylık bir mühdet tanır..."
Uncharted,"Aksiyon, Macera","Bir hazine avcısı olan Nathan Drake'i odağına alan video oyun serisinin sinema uyarlaması Uncharted'da; yetenekli genç hırsız Nathan Drake, 500 yıl önce Ferdinand Magellan’ın kaybettiği bir serveti kurtarmak için deneyimli hazine avcısı Victor “Sully” Sullivan tarafından işe alınır. İkili için bir soygun olarak başlayan iş, kendisinin ve ailesinin gerçek varisler olduğuna inanan acımasız Moncada’dan önce ödüle ulaşmak için dünya çapında bir yarışa dönüşür. Nate ve Sully ip uçlarını deşifre edip dünyanın en eski gizemlerinden birini çözebilirlerse, 5 milyar dolarlık hazineyi ve hatta Nate’in uzun süredir Kayıp kardeşini de bulabilirler…ama ancak birlikte çalışmayı öğrenebilirlerse."
Büyük Budapeşte Oteli,"Komedi, Dram","20. yy'ın başları... Gustave H, Büyük Budapeşte Oteli’nin işleyişini büyük bir profesyonellikle idare eden, müşterilerini dahi en ince ayrıntılarına kadar tanıyan bir konsiyerj görevlisidir. Bir gün otele bellboy ve komi görevlisi olarak Zero Mustafa adında genç bir adam gelir ve kısa zamanda aralarında yakın bir arkadaşlık başlar. İkili birbirlerinin sırdaşı olurken yaşadıkları şehir de büyük bir savaşa doğru sürüklenmektedir. Bu esnada Gustave’ın yaşlı sevgilisi Madame D. esrarengiz bir şekilde hayata veda eder, ikili Madame D.’ye veda etmek için yola çıkar. Bir asilzade olan Madame D.’nin şatosuna vardıklarında miras bölüşümünün yapıldığı toplantıya denk gelirler. Madame D., Gustave’a miras olarak paha biçilmez bir Rönesans tablosu bırakmıştır ve bunun açıklanmasıyla aile içerisinde büyük bir karmaşa çıkar. Bu andan itibaren belalarla dolu bir maceraya atılan Gustave ve Zero, gerçeklerin peşinde koşarken dışarıda da bir çağ değişmektedir…"
Gerçek Kahraman,"Komedi, Macera, Bilim-Kurgu","Guy, sıra dışı yaşamı olan bir banka görevlisidir. Guy, yaşadığı şehir olan Free City'de kendisinin aslında vahşi bir planın parçası olduğunu keşfeder. Free City açık dünyada geçen bir video oyununda yer alıyordur ve Guy'ın bu işin içinden sağ kurtulabilmek için olayları çözmesi gerekmektedir."
Jack Reacher,"Suç, Dram, Gerilim, Aksiyon","Jack Reacher paralı bir askerdir ve suçluları bulmakta oldukça başarılıdır. Bir gün, tanıdığı bir adam beş kişiyi öldürmekten tutuklanır ve Jack'ten kendisine yardım edip gerçek suçluları bulmasını ister. Böylelikle gerçeği bulmak için Jack Reacher'ı, şiddet konusunda yetenekli ve saklayacak bir sırrı olan beklenmedik bir düşmanla karşı karşıya getiren sıra dışı bir kovalamaca başlar."
Akıl Oyunları,"Dram, Romantik","John Forbes Nash kazandığı bir bursla Princeton Üniversitesi'nde öğrenim görmeye başlar. Bu süreçte parlak zekasını her daim hissettiren ancak çevresindekilerle uyum sorunu yaşayan dahi Nash, inanılmaz bir teoriyi ortaya sürüp kanıtlama aşamasına kadar gelir. Böylece matematik çevrelerince ününü yayan dahi adam zamanla şizofreni belirtileriyle mücadele etmeye başlar. Nash artık kendi kurgusal gerçekliklerinden oluşturduğu dünyasıyla asıl gerçekleri ayırt edemeyecek bir aşamaya gelir."
Rebel Moon - Part One: A Child of Fire,"Bilim-Kurgu, Aksiyon, Macera","Ana Dünya'nın acımasız orduları uzak bir ayda bulunan sakin bir çiftçi köyünü tehdit edince, halkın hayatta kalmak için en büyük umudu gizemli bir yabancıya bağlıdır."
Jumanji: Vahşi Orman,"Macera, Komedi, Fantastik, Aksiyon, Aile",Zıt karaktere sahip dört lise öğrencisi daha önce adını kimsenin duymadığı Jumanji isimli bir video konsol oyunu bulurlar. Oyunu oynamaya koyulan dört kafadar bir anda kendilerini oyunun içerisinde avatar karakterlerinin bedenlerinde bulurlar. Gerçek dünyaya dönmek için hayatlarının en tehlikeli macerasına atılarak oyunu bitirmekten başka şansları yoktur.
Hepsini Öldür 2,"Aksiyon, Suç, Gerilim","Hepsini Öldür'de yaşananlardan yedi yıl sonra emekli ajan Phillip ve uzun süredir kayıp olan kızı Vanessa, İtalya'da gözden uzak, huzurlu bir hayat sürmektedir. Bir önceki hedefin intikam ateşiyle yanan erkek kardeşi Vlad tarafından yerleri saptanınca, onun acımasız ordusundan kurtulmak için her şeyi yapmak zorunda kalırlar. Kaçan, sayıca az olan ve hayatları için savaşan baba kız, kendilerini ve bir zamanlar Phillip'in evim dediği köyü kurtarmak için güçlerini birleştirirler. Phillip ve Vanessa, Vlad'ın adamlarını alt etmek ve tehlikeye attıkları masum insanları kurtarmak için son kurşun atılana kadar işlerinin bitmeyeceğinin farkındadır."
E.T.,"Bilim-Kurgu, Macera, Aile, Fantastik","Bir grup uzaylı dünyayı ziyaret eder ve aralarından birini bu yabancı gezegende unuturlar. Bu uzaylı yaratık 10 yaşında bir çocuk olan Elliot tarafından bulunur. Kısa bir süre sonra aralarında iletişim kurmaya başladıklarında ikisi arasında farklı bir arkadaşlık doğar. E.T. dünyadaki yaşam hakkında bilgi edinirken Elliot da arkadaşlığın gerçek anlamını öğrenmeye başlar. E.T. belirli bir zaman sonra evine dönmek ister ama bunun için Elliot'un yardımı gereklidir. Elliot, E.T.ye yardım etmek istemekte ama yardım ederse arkadaşını kaybedeceği düşüncesi de onu üzmektedir. E.T. ve Elliot, E.T.nin eve dönmesi için çalışmalara başlarlar ancak E.T.nin farkına varan devlet görevlilerinin E.T.yi evine yollamak gibi bir niyetleri yoktur."
Kıyamet,"Dram, Savaş","Yönetmenin kurguladığı Final Cut versiyonu ile izleyici karşısına çıkan film, Vietnam'da görev alan bir Amerikan askerine verilen görev sonrasında yaşananları konu ediyor. Yüzbaşı Benjamin Willard, zorlu bir görevle karşı karşıyadır. Willard'dan, Vietnam Savaşı sırasında ordu emirlerini görmezden gelip kendisini tanrı ilan eden özel tim albayını öldürmesi istenir. Willard, gizli görevi yerine getirmeye çalışırken kendisini zorlu durumlarla karşı karşıya bulur."
Kuralsız,"Aksiyon, Bilim-Kurgu, Gerilim","Futüristik bir distopyada geçen öyküde, beş farklı fraksiyona bölünen bir toplumun tüm yaşantısının bu hiyerarşik yapı üzerine inşa edildiğini ve belli bir yaşa gelen gençlerin kendileri için biçilen sınıflardan birine dahil edilerek eğitilmelerini izlemiştik. Bu hiyerarşik yapılanma içerisinde kendine has bir kategoriye sahip olan Tris ise, öykünün finalinde hem çevresindeki insanları hem de işleyen bu düzeni değiştirecek güce sahip olduğunu keşfetmişti."
Yolun Başında,"Dram, Aile","Isaiah Wright henüz bir yetişkin değildir. Liseden mezun olalı bir yıl olmasına rağmen geleceğiyle ilgili bir planı olmayan Isaiah'ı, hayatını daha iyi bir yola sokması için onu tek büyüten annesi ve başarılı bir iş insanı cesaretlendirir. Annesinin duaları ve yeni akıl hocasının İncil'e dayalı öğretileriyle Isaiah, Tanrı'nın onun için düşündüğünden çok daha iyi bir hayat planladığını fark eder. Yapımcılığını, büyük beğeni toplayan SAVAŞ ODASI'nın yaratıcılarından Kendrick Kardeşler'in üstlendiği YOLUN BAŞINDA, tanıdık yüzlerin ve ilham verici sürprizlerin olduğu inanç dolu bir film."
Sicario,"Aksiyon, Suç, Gerilim","Amerika Birleşik Devletleri ile Meksika arasındaki tehlikeli sınır bölgesinde görev yapan idealist bir FBI ajanı olan Kate Macer, bu bölgede hakimiyet kurmuş çok güçlü uyuşturucu çeteleri arasındaki savaşın ortasında kalacaktır."
Maymunlar Cehennemi: Savaş,"Dram, Bilim-Kurgu, Savaş","Sezar ve onun liderliğindeki maymunlar, acımasız Albay'ın yönettiği insan ordusuyla büyük bir çatışmaya zorlanır. Maymunların hayal edilemez kayıplarından sonra Sezar, karanlık içgüdülerine yenik düşer ve türünün intikamını almak için kendi efsanevi macerasına başlar. Yolculuk onları en sonunda yüz yüze getirdiğinde; Sezar ve Albay, türlerinin ve gezegenin kaderini belirleyecek epik bir savaşta birbirlerine karşı savaşırlar."
Extraction,"Aksiyon, Gerilim","Bir uyuşturucu baronunun kaçırılan oğlunu kurtarmak için Bangladeş'e gönderilen sert kiralık katil, kendisini iç hesaplaşmalarla dolu bir yaşam mücadelesinin içinde bulur."
Müzede Bir Gece,"Aksiyon, Macera, Komedi, Aile, Fantastik","Ulusal Tarih Müzesinin karanlık koridorları belki de en inanılmaz günlerini yaşıyordu. Tarih öncesi yaratıklar, korkunç eski çağ savaşçıları, kayıp Efrica kabileleri, tarihin gördüğü en büyük kahramanlar ve daha neler neler tarihin koridorlarından çıkıp bu müzdede yerlerini almışlardı. Hepsi dondurulmuş gibi ya da dondurulmadılar mı acaba?"
Penceremden : 2 - Aramızdaki Deniz,"Romantik, Dram, Komedi","Bir yıl boyunca ilişkilerini uzun mesafeli yürüten Raquel ve Ares, ateşli bir sahil gezisinde buluşur. Acaba aşkları, yeni flörtlerin ve güvensizliklerin üstesinden gelebilecek mi?"
Ant-Man,"Bilim-Kurgu, Aksiyon, Macera","Film, Scott Lang adında bir hırsızın hikâyesini merkezine alır. Scott, eski bir suçlu olarak hapisten çıktıktan sonra, kendi kızı Cassie'ye daha iyi bir baba olma çabası içindedir. Ancak, iş bulmakta zorlanır ve geçmişteki hatalarını telafi etmek için bir fırsat arar. Scott, Hank Pym adlı eski bir bilim insanıyla karşılaşır. Hank, ona Ant-Man kostümünü ve bu kostümün sağladığı küçülme yeteneğini verir. Amaçları, Hank'in eski iş arkadaşı Darren Cross'un tehlikeli bir teknoloji geliştirmesini engellemektir. Bu teknoloji, ""Yellowjacket"" adı verilen bir silah sistemidir ve düşmanlarının eline geçmemesi gerekmektedir. Scott, Ant-Man olarak hem fiziksel olarak küçülüp hem de karınca gibi iletişim kurabilme yeteneği kazanarak, ekibiyle birlikte büyük bir soygun planı yapar. Scott'ın hem bir baba olarak sorumluluklarını yerine getirmeye çalışması hem de süper kahraman olma yolundaki mücadeleleri, izleyicilere duygusal bir bağ sunar."
Karate Kid 2,"Macera, Dram, Aksiyon, Romantik, Aile","Daniel ve Bay Miagi'nin birlikte kazandıkları turnuvadan sonra, Daniel gelişen olaylarla Miagi'nin yanına taşınır. Bu sırada, Okinawa'dan Miagi'ye babasının hasta olduğuna dair bir mektup gelir. Miagi tek başına gitmek istese de Daniel kolej parasından harcayarak ona eşlik eder. Okinawa'ya vardıklarında, bir zamanlar Miagi'nin en iyi arkadaşı olan Sato tarafından kötü şekilde karşılanırlar. Miagi ve Sato Miagi'nin babasından beraber ders almışlar fakat aralarına bir aşk girdiği için birbirlerine düşman olmuşlardır Tomi Köyüne geldiklerinde ikiliyi Yukie ve onun yeğeni Kumiko karşılar. Miagi'nin babası son nefesinde iki öğrencisini barıştırmaya çalışır. Fakat Sato hocası ölür ölmez Miagi'ye kendisi ile yüzleşmesi için üç gün verir. Daniel'ın başına ise Sato'nun yeğeni ve en az onun kadar acımasız olan Chozen bela olur."
Otel Transilvanya 3: Yaz Tatili,"Animasyon, Komedi, Aile, Fantastik","Mavis, lüks bir canavar gemisinde bir aile yolculuğu ayarlayarak Dracula'ya sürpriz yapar. Tatil sayesinde Dracula otelden başını kaldırıp biraz nefes alabilecektir. Dracula'nın arkadaşları da bu geziye katılmaya karşı koyamaz. Canavarlar, canavar voleybolundan devasa büyüklükteki büfelere ve egzotik gezilere kadar gemi gezisinde sunulan tüm eğlencelerle günlerini gün ederler. Fakat işler Dracula'nın geminin ilgi çekici ancak tehlikeli kaptanına aşık olmasıyla birlikte değişir. Aile, arkadaşlar ve tomurcuklanan bir romantizmi dengede tutmak, en güçlü vampir için bile çok fazla olabilir."
Exhuma,"Gizem, Korku, Gerilim","Film, paranormal bir takım olaylarla çevrili olan varlıklı bir ailenin çocuklarını kurtarmak için yükselen genç şaman ikilisi Hwa Rim ve Bong Gil'den yardım alması sonrasında gelişen olayları konu almaktadır."
Terminatör: Kara Kader,"Bilim-Kurgu, Aksiyon, Macera, Gerilim","2020 yılında  Rev-9 modeli yeni bir Terminatör, 2042 yılından Skynet’in yeni bir tehdit olarak gördüğü Daniella ""Dani"" Ramos'u öldürmek için Meksika'ya yollanır. Dani’yi korumak için ise İnsan Direniş’i sibernetik olarak gelişmiş bir asker olan Grace’i geçmişe yollar. İkilinin yolları Mahşer Günü'nü önledikten sonra kimliği gizli biri tarafından gelecekten gelen Terminatör’leri yok etmesi için yardım alan Sarah Connor ile kesişecektir. İnsanlığın yeni umudu Dani’yi hayatta tutmak için Grace ve Sarah’nın beraber çalışmaları ve kimliği gizli bu kişiden yardım almaları gerekmektedir."
Bird Box,"Korku, Gerilim, Dram","Görünmeyen uğursuz bir varlığın nüfusun büyük kısmını yok etmesinden beş yıl sonra, hayatta kalan bir kadın ve iki çocuğu çaresiz bir şekilde güvenli bir yere ulaşmaya çabalar."
Paris'in Altında,"Aksiyon, Korku","Yaslı bir bilim insanı, Seine Nehri'ndeki devasa köpek balığının Paris'i kana bulayıp uluslararası bir facia yaratmasını önlemek için trajik geçmişiyle yüzleşmek zorunda kalır."
Çöl Avcıları,"Bilim-Kurgu, Aksiyon","Yıkıcı bir depremin ardından kanunsuz ve çorak bir şehre dönen Seul'da korkusuz bir avcı, çılgın bir doktorun kaçırdığı genci kurtarmak için harekete geçer."
Diriliş,"Vahşi Batı, Dram, Macera","Hugh Glass kürkleri için hayvanları avlayan bir kuruluş için çalışan deneyimli bir tuzakçıdır. Fakat avlandıkları bölgelerde kendilerinden başka hem yerli Kızılderililer hem de Fransız birlikleri kol gezmektedir. Bir av ertesinde bir boz ayı tarafından ölümcül bir biçimde yaralanan Glass'ı, yavaşlamamak adına ekibi ölüme terk eder. Fakat bölgeyi herkesten iyi bilen avcı Glass hayata tutunur ve yavaş da olsa yaraları iyileşir. Zira yaşama tutunması için oldukça geçerli bir sebebi vardır."
Bakireler Diyarı,"Macera, Aksiyon, Komedi, Romantik","Lorenzo de Lamberti, son derece çekici ve istediği her kadını elde eden iflah olmaz bir serseridir. Fakat kalbini tam anlamıyla fetheden tek bakire, seksi ve masum güzel Pampinea'dır. Fakat asil bir Rus kontu ve takıntılı sapık ruhlu bir asilzade de güzel Pampinea'nın masumiyetini istemektedir. İhtirasın bulaşıcı olduğu bir zamanda hilekârlık baştan çıkarma yöntemi olabilir mi?"
Diriliş,"Vahşi Batı, Dram, Macera","Hugh Glass kürkleri için hayvanları avlayan bir kuruluş için çalışan deneyimli bir tuzakçıdır. Fakat avlandıkları bölgelerde kendilerinden başka hem yerli Kızılderililer hem de Fransız birlikleri kol gezmektedir. Bir av ertesinde bir boz ayı tarafından ölümcül bir biçimde yaralanan Glass'ı, yavaşlamamak adına ekibi ölüme terk eder. Fakat bölgeyi herkesten iyi bilen avcı Glass hayata tutunur ve yavaş da olsa yaraları iyileşir. Zira yaşama tutunması için oldukça geçerli bir sebebi vardır."
Bakireler Diyarı,"Macera, Aksiyon, Komedi, Romantik","Lorenzo de Lamberti, son derece çekici ve istediği her kadını elde eden iflah olmaz bir serseridir. Fakat kalbini tam anlamıyla fetheden tek bakire, seksi ve masum güzel Pampinea'dır. Fakat asil bir Rus kontu ve takıntılı sapık ruhlu bir asilzade de güzel Pampinea'nın masumiyetini istemektedir. İhtirasın bulaşıcı olduğu bir zamanda hilekârlık baştan çıkarma yöntemi olabilir mi?"
Sicario: Day of the Soldado,"Aksiyon, Suç, Gerilim","Uyuşturucu kartelleri, teröristleri ABD sınırından kaçak yollarla geçirmeye başlayınca, federal ajan Matt Graver, gizemli Alejandro’yla iletişime geçer. Ailesi bir kartel patronu tarafından öldürülen Alejandro’nun görevi, en alçakça yollarla savaşı kızıştırmaktır. Alejandro, savaşı alevlendirmek için kartel patronunun kızını kaçırır fakat kız, sivil zayiat olarak görülmeye başlayacak ve kızın kaderi, ne için savaştıklarını sorgulayan bu iki adamın elinde olacaktır."
Beterböcek,"Fantastik, Komedi","Genç ve mutlu bir çift olan Adam ve Barbara Maitland geçirdikleri trafik kazası sonrasında ölürler. Bu arada Charles ve Delia, kız kardeşleriyle birlikte New York'a gelerek Maitland'ların evlerini satın alırlar. Fakat Adam ve Barbara Maitland bu durumdan hiç hoşnut değildirler. Birer hayalet olmalarına rağmen tecrübesizlikleri yüzünden yeni ev sahiplerini evden uzaklaştıramazlar. Son çare olarak en kötü hayalet Beter Böcek'e başvururlar."
Tetikçi,"Dram, Aksiyon, Gerilim","Mark Wahlberg eski bir keskin nişancıdır. Bu işleri uzun zaman önce bırakmış olmasına rağmen son bir görev için yeniden geri dönmesi istenir. Fakat kısa zaman içinde aslında bu görevin altında yatan büyük gerçeği farkına varacaktır. Aslında yapılmak istenen Amerikan Başkanı'na bir suikast düzenlemektir.Artık Mark'ın işi ilk zamankinden çok daha zordur. Çünkü bir yandan bu büyük komplonun altında yatan gerçekleri ortaya çıkarmaya çalışacak, bir yandan da Başkan'ı bu korkunç gidişattan korumaya çalışacaktır.Stephen Hunter imzalı Point of Impact kitabından uyarlanan film, Antoine Fuqua imzası taşıyor."
Winnie the Pooh: Kan ve Bal 2,"Korku, Gerilim",Birçok kişi cinayetlerin Christopher tarafından işlendiğine inanır. Yaşanan dehşet üzerine terapiye başlayan genç adam geçmişiyle ilgili büyük sırlar olduğunu öğrenir. Bu arada intikam için geri dönme planları yapan Winnie ve Piglet bu kez Tigger ve Owl’u da yanında getirir. Büyük hesaplaşma için ormana dönen kahramanlar Christopher’ı öldürmek için her şeyi yapmaya hazırdır.
Sevimli Canavarlar Üniversitesi,"Animasyon, Aile","Mike Wazowski ve James P. Sullivan, ayrılmaz bir çifttir, ama durum her zaman böyle olmamıştır. Bu iki uyumsuz canavar, karşılaştıkları andan beri birbirine dayanamamıştır. Sevimli Canavarlar Üniversitesi, Mike ve Sulley farklılıklarının üstesinden gelsin ve birbirlerinin en iyi arkadaşı olsunlar diye onlara kapılarını açar."
Kaptan Amerika: Kış Askeri,"Aksiyon, Macera, Bilim-Kurgu","Marvel'in ""Kaptan Amerika: Kış Askeri"" filminde Steve Rogers'ı, nam-ı diğer Kaptan Amerika'yı, Yenilmezler ile birlikte New York'ta yaşanan dehşet verici olayların ardından Washington D.C.de huzur içinde yaşarken ve modern dünyaya uyum sağlamaya çalışırken buluyoruz. S.H.I.E.L.D. üyesi bir arkadaşı saldırıya uğrayınca Steve, dünyayı tehlikeye atan bir entrika ağının içine çekilir. Natasha Romanoff nam-ı diğer Kara Dul ile güçlerini birleştiren Kaptan Amerika, kendisini susturmak için gönderilen profesyonel katillerle savaşırken bir yandan da giderek genişleyen bir komployu ortaya çıkarmak için çabalamaktadır. Bu kötü niyetli oyunun foyası meydana çıkınca Kaptan Amerika ve Kara Dul, yeni arkadaşları Falcon'dan yardım isterler. Fakat kısa süre sonra kendilerini hiç beklenmedik ve zorlu bir düşmanla; Kış Askeri ile karşı karşıya bulurlar."
Evrenler Savaşı,"Bilim-Kurgu, Aksiyon, Fantastik, Macera","2022 yılında Dünya’da yaşayan Guard ve Thunder, insanların beyinlerine kilitlenmiş uzaylı mahkumları yönetir. Bir gün, Seul üzerinde gökyüzünde bir uzay aracı belirir ve polis dedektifi Moon, tuhaf bir olaya tanık olur."
İlk Yenilmez: Kaptan Amerika,"Aksiyon, Macera, Bilim-Kurgu","Film, II. Dünya Savaşı döneminde geçer ve zayıf bir genç olan Steve'in kahramana dönüşümünü merkezine alır. Steve Rogers'ın askere katılma isteğiyle başlar ancak fiziksel durumu nedeniyle sürekli reddedilir. Ancak ""Yetenekli Asker"" programına katılması için bir fırsat doğar. Dr. Abraham Erskine tarafından seçilen Steve, deneysel bir serum sayesinde süper insan güçlerine sahip olur. Bu süreçte, Kaptan Amerika kimliğiyle tanınmaya başlar. Steve, yeni gücünü kullanarak Nazi Almanyası'nın kötü liderlerinden biri olan Red Skull ile savaşmak zorundadır. Red Skull, Tesseract adı verilen mistik bir nesneye sahip olup dünyayı ele geçirmeye çalışmaktadır. Kaptan Amerika, hem savaşta hem de dostlarıyla birlikte Red Skull'a karşı mücadele ederken gerçek dostluğun ve fedakarlığın ne demek olduğunu öğrenir."
Oblivion,"Aksiyon, Bilim-Kurgu, Macera, Gizem","Görkemli gelecekte, artık tanınmayacak halde olan Dünya'da, bir yandan insanoğlunu kurtarmaya çalışan bir adamın geçmişle hesaplaşması onu, bir kurtuluş ve keşif yolculuğuna sürükler. Jack Harper, Dünya üzerinde geriye kalan birkaç insansız hava aracı tamircisinden biridir. Scavlar olarak bilinen korkunç bir tehditle yıllarca süren savaşın ardından hayati kaynakları kurtarmak için yapılan büyük bir operasyonun parçası olan Jack'in görevi neredeyse bitmiştir. Gökyüzünde binlerce kilometre yükseklikte yaşayan ve devriye gezen Jack'in hayatı yere inen bir uzay gemisinden güzel bir yabancıyı kurtarmasıyla değişir. Kadının gelişi, Jack'in bildiği her şeyi sorgulamasına neden olan bir dizi olayı tetikler. Bu olayların sonucunda insanlığın kaderi Jack'in ellerindedir."
Madagaskar 3: Avrupa'nın En Çok Arananları,"Animasyon, Aile, Komedi, Macera","Geri dönüyorlar! Aslan Alex, Zebra Marty, Zürafa Melma ve Su Aygırı Gloria gene ortalığı birbirine katacaklar. Polise yakalanmadan evleri New York'a geri dönebilmek için çareyi gezici bir sirkin gösteri ekibine katılmakta bulurlar. Alex'in amacı mümkün mertebe fark edilmeden eve dönmekken bu ekiple işi oldukça zordur. Avrupa turnesi şüphesiz ki oldukça renkli geçecektir."
